Entity,Code,Year,Work hours per persons engaged (hours per person engaged)
Argentina,ARG,1950,2033.9999999999998
Argentina,ARG,1951,2037.8667525967953
Argentina,ARG,1952,2041.7408561157356
Argentina,ARG,1953,2045.622324531354
Argentina,ARG,1954,2049.511171844748
Argentina,ARG,1955,2053.407412083632
Argentina,ARG,1956,2057.311059302389
Argentina,ARG,1957,2061.2221275821203
Argentina,ARG,1958,2065.1406310306943
Argentina,ARG,1959,2069.066583782801
Argentina,ARG,1960,2073.0000000000005
Argentina,ARG,1961,2066.2005116511955
Argentina,ARG,1962,2059.4233257827595
Argentina,ARG,1963,2052.6683692420384
Argentina,ARG,1964,2045.9355691163169
Argentina,ARG,1965,2039.2248527320369
Argentina,ARG,1966,2032.536147654013
Argentina,ARG,1967,2025.8693816846458
Argentina,ARG,1968,2019.224482863148
Argentina,ARG,1969,2012.6013794647645
Argentina,ARG,1970,2005.9999999999998
Argentina,ARG,1971,2002.661112336839
Argentina,ARG,1972,1999.327782086852
Argentina,ARG,1973,1995.9999999999998
Argentina,ARG,1974,1992.8421947373229
Argentina,ARG,1975,1989.689385333402
Argentina,ARG,1976,1986.5415638844554
Argentina,ARG,1977,1983.398722499205
Argentina,ARG,1978,1980.2608532988563
Argentina,ARG,1979,1977.127948417083
Argentina,ARG,1980,1973.9999999999998
Argentina,ARG,1981,1961.2300566642687
Argentina,ARG,1982,1948.5427229804106
Argentina,ARG,1983,1935.9374645408404
Argentina,ARG,1984,1923.4137503950928
Argentina,ARG,1985,1910.9710530274576
Argentina,ARG,1986,1898.6088483347605
Argentina,ARG,1987,1886.3266156042882
Argentina,ARG,1988,1874.1238374918523
Argentina,ARG,1989,1862.0000000000002
Argentina,ARG,1990,1850.0000000000002
Argentina,ARG,1991,1837.960826568401
Argentina,ARG,1992,1825.9999999999998
Argentina,ARG,1993,1850.337806996333
Argentina,ARG,1994,1875.0000000000002
Argentina,ARG,1995,1897.2166392706952
Argentina,ARG,1996,1846.067007791064
Argentina,ARG,1997,1917.293327347842
Argentina,ARG,1998,1903
Argentina,ARG,1999,1893.2493975810457
Argentina,ARG,2000,1861.002526951259
Argentina,ARG,2001,1803.4238968719928
Argentina,ARG,2002,1610.5730944383258
Argentina,ARG,2003,1719.3931762309876
Argentina,ARG,2004,1739.6747045492236
Argentina,ARG,2005,1755.3493111271375
Argentina,ARG,2006,1809.428125799165
Argentina,ARG,2007,1816.9030738362455
Argentina,ARG,2008,1835.8841466103493
Argentina,ARG,2009,1736.906960617589
Argentina,ARG,2010,1728.7286751005086
Argentina,ARG,2011,1762.290766311221
Argentina,ARG,2012,1788.985879558639
Argentina,ARG,2013,1776.6592834575424
Argentina,ARG,2014,1776.6592834575424
Armenia,ARM,2009,1826
Armenia,ARM,2010,1873
Armenia,ARM,2011,1842
Armenia,ARM,2012,1842
Armenia,ARM,2013,1842
Armenia,ARM,2014,1842
Australia,AUS,1950,2309.2781672460883
Australia,AUS,1951,2287.9221986727107
Australia,AUS,1952,2266.7637279149603
Australia,AUS,1953,2245.800928533215
Australia,AUS,1954,2225.0319909785794
Australia,AUS,1955,2204.4551224366814
Australia,AUS,1956,2184.068546672913
Australia,AUS,1957,2163.870503879102
Australia,AUS,1958,2143.859250521604
Australia,AUS,1959,2124.033059190793
Australia,AUS,1960,2104.3902184519543
Australia,AUS,1961,2098.294455670503
Australia,AUS,1962,2092.2163504145246
Australia,AUS,1963,2086.1558515356696
Australia,AUS,1964,2080.1129080337496
Australia,AUS,1965,2074.087469056307
Australia,AUS,1966,2068.0794838981888
Australia,AUS,1967,2062.0889020011186
Australia,AUS,1968,2056.1156729532713
Australia,AUS,1969,2050.1597464888496
Australia,AUS,1970,2044.2210724876606
Australia,AUS,1971,2039.8940916558006
Australia,AUS,1972,2035.8999555033145
Australia,AUS,1973,2031.7948711243703
Australia,AUS,1974,2027.689786745426
Australia,AUS,1975,2023.6956505929402
Australia,AUS,1976,2019.7015144404543
Australia,AUS,1977,2015.3745336085942
Australia,AUS,1978,2011.3803974561085
Australia,AUS,1979,2034.1247838799875
Australia,AUS,1980,2021.0243407950484
Australia,AUS,1981,1997.250293311451
Australia,AUS,1982,1958.7574119336734
Australia,AUS,1983,1981.132033793362
Australia,AUS,1984,1986.2817057646575
Australia,AUS,1985,2002.1350975393127
Australia,AUS,1986,1977.425987304084
Australia,AUS,1987,1990.3905316797868
Australia,AUS,1988,1999.474993384493
Australia,AUS,1989,1987.891383104791
Australia,AUS,1990,1967.7582065652523
Australia,AUS,1991,1962.1704981166497
Australia,AUS,1992,1971.2737828930515
Australia,AUS,1993,1981.617834178783
Australia,AUS,1994,1995.4550586837022
Australia,AUS,1995,1994.1747188139059
Australia,AUS,1996,1982.1111250470335
Australia,AUS,1997,1980.6574160302973
Australia,AUS,1998,1978.1072636298259
Australia,AUS,1999,1983.2702463600788
Australia,AUS,2000,1968.5786645976373
Australia,AUS,2001,1925.4529929224332
Australia,AUS,2002,1904.0441794053418
Australia,AUS,2003,1904.3623466257666
Australia,AUS,2004,1905.5283497203257
Australia,AUS,2005,1890.867689257578
