Entity,Code,Year,KcalFat,DailyCaloriesPerCapita
Bolivia,BOL,1995,399.42,2106.0
Bolivia,BOL,1996,423.99,2047.0
Bolivia,BOL,1997,424.44,2055.0
Bolivia,BOL,1998,378.18,1951.0
Bolivia,BOL,1999,381.06,2037.0
Bolivia,BOL,2000,373.41,2076.0
Bolivia,BOL,2001,374.76,2083.0
Bolivia,BOL,2002,392.49,2102.0
Bolivia,BOL,2003,409.05,2117.0
Bolivia,BOL,2004,406.26,2051.0
Bolivia,BOL,2005,415.17,2106.0
Bolivia,BOL,2006,428.31,2159.0
Bolivia,BOL,2007,448.2,2165.0
Bolivia,BOL,2008,456.3,2146.0
Bolivia,BOL,2009,418.05,2133.0
Bolivia,BOL,2010,437.31,2177.0
Bolivia,BOL,2011,464.85,2222.0
Bolivia,BOL,2012,481.32,2234.0
Bolivia,BOL,2013,478.26,2256.0
Bolivia,BOL,2014,478.26,2256.0
Bolivia,BOL,2015,478.26,2256.0
Brazil,BRA,1995,730.98,2812.0
Brazil,BRA,1996,739.8,2840.0
Brazil,BRA,1997,770.76,2854.0
Brazil,BRA,1998,782.19,2853.0
Brazil,BRA,1999,870.3,2865.0
Brazil,BRA,2000,897.12,2880.0
Brazil,BRA,2001,894.42,2892.0
Brazil,BRA,2002,907.2,2927.0
Brazil,BRA,2003,932.67,3067.0
Brazil,BRA,2004,946.62,3082.0
Brazil,BRA,2005,921.6,3078.0
Brazil,BRA,2006,947.52,3096.0
Brazil,BRA,2007,963.0,3106.0
Brazil,BRA,2008,1000.26,3178.0
Brazil,BRA,2009,994.68,3166.0
Brazil,BRA,2010,1016.91,3230.0
Brazil,BRA,2011,1041.48,3286.0
Brazil,BRA,2012,1051.02,3248.0
Brazil,BRA,2013,1059.75,3263.0
Brazil,BRA,2014,1059.75,3263.0
Brazil,BRA,2015,1059.75,3263.0
Bulgaria,BGR,1995,825.3,2896.0
Bulgaria,BGR,1996,792.27,2741.0
Bulgaria,BGR,1997,771.03,2676.0
Bulgaria,BGR,1998,861.21,2818.0
Bulgaria,BGR,1999,829.44,2879.0
Bulgaria,BGR,2000,830.79,2813.0
Bulgaria,BGR,2001,830.07,2816.0
Bulgaria,BGR,2002,832.05,2779.0
Bulgaria,BGR,2003,849.24,2757.0
Bulgaria,BGR,2004,857.07,2764.0
Bulgaria,BGR,2005,861.75,2723.0
Bulgaria,BGR,2006,836.91,2759.0
Bulgaria,BGR,2007,844.38,2734.0
Bulgaria,BGR,2008,832.32,2782.0
Bulgaria,BGR,2009,861.93,2785.0
Bulgaria,BGR,2010,866.25,2762.0
Bulgaria,BGR,2011,847.89,2769.0
Bulgaria,BGR,2012,847.08,2777.0
Bulgaria,BGR,2013,847.35,2829.0
Bulgaria,BGR,2014,847.35,2829.0
Bulgaria,BGR,2015,847.35,2829.0
China,CHN,1995,596.25,2701.0
China,CHN,1996,594.99,2704.0
China,CHN,1997,610.38,2734.0
China,CHN,1998,640.98,2776.0
China,CHN,1999,653.94,2770.0
China,CHN,2000,683.91,2814.0
China,CHN,2001,682.92,2821.0
China,CHN,2002,698.58,2836.0
China,CHN,2003,714.69,2838.0
China,CHN,2004,724.14,2861.0
China,CHN,2005,742.05,2883.0
China,CHN,2006,768.42,2886.0
China,CHN,2007,787.68,2921.0
China,CHN,2008,801.36,2977.0
China,CHN,2009,827.82,2995.0
China,CHN,2010,845.37,3044.0
China,CHN,2011,845.55,3080.0
China,CHN,2012,859.77,3098.0
China,CHN,2013,862.83,3108.0
China,CHN,2014,862.83,3108.0
China,CHN,2015,862.83,3108.0
Egypt,EGY,1995,510.75,3315.0
Egypt,EGY,1996,498.24,3332.0
Egypt,EGY,1997,493.65,3361.0
Egypt,EGY,1998,501.12,3339.0
Egypt,EGY,1999,509.76,3356.0
Egypt,EGY,2000,515.97,3368.0
Egypt,EGY,2001,507.15,3409.0
Egypt,EGY,2002,523.53,3434.0
Egypt,EGY,2003,531.9,3379.0
Egypt,EGY,2004,499.32,3309.0
Egypt,EGY,2005,515.43,3367.0
Egypt,EGY,2006,518.13,3389.0
Egypt,EGY,2007,553.59,3445.0
Egypt,EGY,2008,555.57,3490.0
Egypt,EGY,2009,535.5,3441.0
Egypt,EGY,2010,559.89,3507.0
Egypt,EGY,2011,576.09,3549.0
Egypt,EGY,2012,583.47,3561.0
Egypt,EGY,2013,568.17,3522.0
Egypt,EGY,2014,568.17,3522.0
Egypt,EGY,2015,568.17,3522.0
Germany,DEU,1995,1243.44,3249.0
Germany,DEU,1996,1299.96,3297.0
Germany,DEU,1997,1288.53,3176.0
Germany,DEU,1998,1292.22,3285.0
Germany,DEU,1999,1266.39,3279.0
Germany,DEU,2000,1285.2,3336.0
Germany,DEU,2001,1234.17,3363.0
Germany,DEU,2002,1251.36,3427.0
Germany,DEU,2003,1252.71,3390.0
Germany,DEU,2004,1247.22,3411.0
Germany,DEU,2005,1250.64,3450.0
Germany,DEU,2006,1266.48,3466.0
Germany,DEU,2007,1314.0,3527.0
Germany,DEU,2008,1296.99,3517.0
Germany,DEU,2009,1285.29,3515.0
Germany,DEU,2010,1296.9,3504.0
Germany,DEU,2011,1310.85,3538.0
Germany,DEU,2012,1298.79,3501.0
Germany,DEU,2013,1276.83,3499.0
Germany,DEU,2014,1276.83,3499.0
Germany,DEU,2015,1276.83,3499.0
Kenya,KEN,1995,433.17,2055.0
Kenya,KEN,1996,425.25,2051.0
Kenya,KEN,1997,419.22,2017.0
Kenya,KEN,1998,416.97,2049.0
Kenya,KEN,1999,432.99,2077.0
Kenya,KEN,2000,420.66,2049.0
Kenya,KEN,2001,423.09,2066.0
Kenya,KEN,2002,412.02,2023.0
Kenya,KEN,2003,417.78,2004.0
Kenya,KEN,2004,427.05,2022.0
Kenya,KEN,2005,438.93,2161.0
Kenya,KEN,2006,437.49,2161.0
Kenya,KEN,2007,437.76,2110.0
Kenya,KEN,2008,435.51,2106.0
Kenya,KEN,2009,471.06,2165.0
Kenya,KEN,2010,459.72,2160.0
Kenya,KEN,2011,434.43,2170.0
Kenya,KEN,2012,425.97,2192.0
Kenya,KEN,2013,431.82,2206.0
Kenya,KEN,2014,431.82,2206.0
Kenya,KEN,2015,431.82,2206.0
United States,USA,1995,1262.25,3580.0
United States,USA,1996,1236.15,3587.0
United States,USA,1997,1257.66,3648.0
United States,USA,1998,1285.56,3658.0
United States,USA,1999,1318.68,3673.0
United States,USA,2000,1389.51,3755.0
United States,USA,2001,1393.11,3707.0
United States,USA,2002,1439.28,3783.0
United States,USA,2003,1427.58,3777.0
United States,USA,2004,1454.85,3809.0
United States,USA,2005,1484.91,3828.0
United States,USA,2006,1462.41,3783.0
United States,USA,2007,1468.62,3757.0
United States,USA,2008,1452.33,3700.0
United States,USA,2009,1433.25,3645.0
United States,USA,2010,1439.37,3650.0
United States,USA,2011,1455.3,3649.0
United States,USA,2012,1460.07,3687.0
United States,USA,2013,1453.86,3682.0
United States,USA,2014,1453.86,3682.0
United States,USA,2015,1453.86,3682.0
