,amp1mean,amp1std,amp1skew,amp1kurt,amp1dmean,amp1dstd,amp1dskew,amp1dkurt,amp10mean,amp10std,amp10skew,amp10kurt,amp10dmean,amp10dstd,amp10dskew,amp10dkurt,amp100mean,amp100std,amp100skew,amp100kurt,amp100dmean,amp100dstd,amp100dskew,amp100dkurt,amp1000mean,amp1000std,amp1000skew,amp1000kurt,amp1000dmean,amp1000dstd,amp1000dskew,amp1000dkurt,power1,power2,power3,power4,power5,power6,power7,power8,power9,power10
Adele\01 Hometown Glory.mp3,-1.75418,5334.194994534838,0.4898508546825877,4.572909330316169,0.011624023248046495,3056.8661556270777,0.7491658195893457,13.037202932486245,-1.7541799999999987,3411.035757767914,0.14792606260006508,3.287694674045565,0.18420168403368267,5289.044158990293,-0.05199979308966297,3.671368115093782,-1.7541799999999996,331.83475365182534,-0.047712540231799896,3.3033631082826713,0.0816143228645745,530.4681101366122,-0.07716302524350574,3.7330026511059033,-1.7541800000000003,42.73067324196519,0.11816988380934097,3.1619472141487597,0.092374749498998,71.93812043430859,-0.14547547323324794,3.3205844768533193,0.2562626082153996,0.24457631078081385,0.1332262200737119,0.11505601557557676,0.05350031060311327,0.0616959310424215,0.03372027278050572,0.031884034918479486,0.047907875038054,0.022170420971924006
Adele\02 I'll Be Waiting.mp3,-4.061662,6368.628337505007,0.14637670487838506,3.456919382326591,0.001042002084004168,3860.8844412230537,0.3540813199492642,7.264916486039492,-4.061661999999997,4696.682188320304,-0.01403115326255932,3.188324455512713,-0.3344926898537968,5532.267609035867,-0.010854312514466013,3.204791812023809,-4.061661999999999,1048.4642527276826,-0.02501539018855636,2.8936220233751535,-0.35745749149829836,1898.787121348256,0.06989787921268018,2.9206083656957413,-4.061662000000002,103.41670800310634,0.013257712752691733,2.9293061145982273,-0.4241482965931857,180.61723964943994,-0.03716049817938018,3.018070952570818,0.2928559148772207,0.18459185944306045,0.11096763529258284,0.10503520742178638,0.07981475390649001,0.06959430785296161,0.0482967181798583,0.04684077876779617,0.039007301914207204,0.022995522344036255
Adele\03 Don't You Remember.mp3,-3.579576,5920.087054513276,0.27215347652166433,3.9608771662291127,0.00142000284000568,3729.2833898805798,0.4905878856664076,8.745255177777883,-3.579575999999995,4019.2773243249167,0.009854556894479748,3.566580031215618,0.11383827676554094,4774.190034523848,0.024550519674274643,3.4372694796693595,-3.5795759999999923,1060.092343687596,0.02730468419868997,2.6397866438268385,0.13467293458691185,1955.602045450608,0.05582279352537237,2.6076573125295814,-3.579575999999999,90.01753695670763,-0.34691796599741886,4.23589458366674,0.15777154308617192,148.77168161791664,0.29336695319942563,4.191683299949096,0.2529987905104221,0.21517495487929156,0.12601068058599618,0.10806563802960484,0.06838125144418623,0.06780996082075012,0.04177586060178333,0.0497362005023309,0.05227355630563168,0.017773106320002903
Adele\04 Turning Tables.mp3,-2.345298,5563.725865715464,0.30800765638589744,4.022532543871532,0.00477000954001908,4250.735254846114,0.5044034224201511,8.76498145878524,-2.345297999999999,3223.0442787968477,0.01466569050878426,3.3203909940533514,0.0063861277225558555,5090.635327640844,-0.00836708464741354,3.4555719543556487,-2.345298,291.0867904519049,0.010001001489964224,4.030668118257354,-0.02381076215242998,482.7453334181993,-0.012488630879315381,4.381046125693466,-2.3452979999999997,39.90075542278863,-0.17249448709574736,3.054375818969626,-0.05095390781563148,68.76877790961713,-0.09291027361176506,2.9914160222665647,0.19315364673180627,0.189790545215428,0.13978020482858264,0.12855732849140236,0.08011506099773821,0.07949318190322459,0.05154250222711772,0.05130882474477581,0.053995003050191163,0.03226370180973307
Adele\05 Set Fire To The Rain.mp3,-3.027496,6276.094522089352,0.1802267812748259,3.4231628921429764,0.024854049708099415,3962.460279649906,0.5116429768888799,6.016145353819586,-3.027496000000001,4374.204545435979,0.004605033764113493,3.1496592136270327,0.046060921218426136,4543.223002755499,0.02249566159179698,3.4422652003687824,-3.0274959999999975,1118.6187538735483,-0.06332873365497119,2.5209142243587275,-0.7785017003400646,1974.8117608332802,0.10478748776338839,2.592551093300799,-3.027496,102.31160843653072,-0.025050139777947362,2.381123466802268,-0.7775430861723442,174.2824358414965,0.009448361500105066,2.4180889854150083,0.2559706864027313,0.1943423736247535,0.12906290950355057,0.12490845614076941,0.06937277017285971,0.06813734646131822,0.04432376240754901,0.048116456808106264,0.04153803257101495,0.024227205907347428
Adele\06 If It Hadn't Been For Love.mp3,-0.322838,5770.983991334027,0.25936774831971277,3.936683473515477,0.008506017012034024,3903.7692217739927,0.44893327504510033,8.024947550104606,-0.32283799999999907,3716.7489497403812,0.22716448197304612,3.7336040650598066,0.10110002200044002,4559.150658242397,0.01949818011618499,3.8674718142778133,-0.322837999999996,941.6955679405344,-0.2008939464702911,3.6604046704065007,-0.06756351270254515,1694.2930423243076,-0.11675581968544385,3.7247211078243287,-0.32283800000000046,83.08906035586006,-0.0364592222830688,3.5592577122914335,0.1312184368737475,144.1513411447498,0.0011220825357162532,3.784922939122643,0.24796355252738114,0.20145372056457073,0.15284592666294086,0.11080983026859052,0.06580204426062897,0.06275168319254379,0.04589152265732312,0.04637040126794069,0.041826774519731914,0.024284544078348205
Adele\07 My Same.mp3,-4.03233,5861.773069751231,0.28582438788303915,4.11894241413261,0.006838013676027352,3773.4646763422297,0.5473681009331123,11.078517160290646,-4.032330000000002,4188.6732210778355,0.17069337568639475,3.9537495025205747,0.11431828636572922,5120.15613345357,-0.0004345848308302989,4.015672866603374,-4.032330000000002,870.4283717947106,-0.23735926144024705,4.542698936645754,0.15096219243848422,1414.7041535246776,-0.06543996114395126,5.605767579424328,-4.032330000000001,91.38161280201341,0.2935324223113298,3.9759590079166958,0.1790200400801592,154.65195843054948,-0.11421363575380444,4.286069338002004,0.30014823399347285,0.1545235578981265,0.1245750849546836,0.1132942263326244,0.06952080514921212,0.07172591577900908,0.049212579973471664,0.04001770427319935,0.04914536067508986,0.0278365309711108
Adele\08 Take It All.mp3,-1.483948,4918.744666647206,0.4497359302686625,4.738426676019226,0.03519207038414077,3530.8663316732377,0.6401870593852438,10.736423060170475,-1.4839479999999994,2787.678711770123,0.1616343324417427,3.7915255015523894,-0.03265865317306448,4350.846930721549,-0.031122427863352127,3.870862612265533,-1.4839480000000007,292.75396215944426,-0.018602813201483926,3.8430230185295176,-0.04478695739147777,499.0897401237266,0.007980169071523881,3.9892823856674435,-1.4839479999999998,33.05150724371426,-0.1862653581984135,3.6509891830615593,-0.07284368737474971,57.9372838957268,0.09191986574700223,3.5519361860057903,0.1970725969696482,0.2189750652780635,0.1264420468425558,0.139227750537423,0.07985032614488662,0.08169360630959223,0.05184367201653749,0.04220063935279086,0.040393742677131375,0.022300553871370966
Adele\09 Rumour Has It.mp3,-0.840714,5486.055527929148,0.1310713304357304,3.7896263266228494,-0.002354004708009416,2661.2057273394535,0.3356957754280426,8.715890446626805,-0.8407140000000051,4410.2539718223225,0.006011916726396929,3.5391761493613916,-0.05958919178382794,4859.026915586178,0.009250458053621395,3.415079475107061,-0.8407140000000003,940.9016484195945,-0.09682006864788588,4.131740179724699,-0.34781556311261796,1685.221513554933,0.04515668389105104,4.264610954122624,-0.8407139999999993,93.36565363744958,-0.1216079804576283,4.0578407192355685,-0.48553907815631286,165.97325875913333,0.037539878529402236,4.186389844604396,0.34947469793242747,0.16924074976755454,0.1242559284334147,0.09219234992057262,0.06996386886076963,0.05388549677005791,0.03672310071831726,0.03812955848757033,0.03899130273953246,0.02714294636978313
Adele\10 Right As Rain.mp3,-5.058238,6039.46012818185,0.2066843100619308,3.761082663625507,-0.014144028288056576,3806.067023125094,0.5384070562934352,7.788088510369565,-5.058238000000004,3999.199359733412,-0.03184055896117924,4.065967263852067,-0.16482929658592935,4402.45638398682,-0.0070909087866051716,4.1224534087878455,-5.058237999999999,851.8685480416068,-0.03211665682613351,4.055052022346792,-0.21838367673534675,1527.7472321833075,0.08570458113746739,4.223820530483015,-5.058238000000001,98.33389496277138,0.13185778191537342,3.9963534137047807,-0.23334869739478992,170.44084031174864,0.08132752016281018,3.9949707171076527,0.25536197319686205,0.22106682873442607,0.140356763889616,0.10441247876905259,0.06678168900711366,0.06669696089614771,0.04106373406696386,0.04131285428201082,0.03963599792794884,0.023310719229858886
