,amp1mean,amp1std,amp1skew,amp1kurt,amp1dmean,amp1dstd,amp1dskew,amp1dkurt,amp10mean,amp10std,amp10skew,amp10kurt,amp10dmean,amp10dstd,amp10dskew,amp10dkurt,amp100mean,amp100std,amp100skew,amp100kurt,amp100dmean,amp100dstd,amp100dskew,amp100dkurt,amp1000mean,amp1000std,amp1000skew,amp1000kurt,amp1000dmean,amp1000dstd,amp1000dskew,amp1000dkurt,power1,power2,power3,power4,power5,power6,power7,power8,power9,power10
Adele\01 Hometown Glory.mp3,-1.53892,5013.750826509553,0.44174427654372667,4.903961587349638,-0.006916013832027664,2713.762079315984,0.8671244411054024,14.632579252247377,-1.5389199999999987,3435.9628081830037,0.11132501185452458,3.834952748086983,0.021596431928639175,4998.907421530927,-0.05915141692699775,4.735524125833643,-1.5389199999999996,343.47096062897896,-0.07699760410407246,4.15920254495922,-0.019257851570314604,540.2395014333653,-0.16260545563650664,4.466196950299315,-1.5389200000000005,50.79114342435697,0.00775388961623948,3.631786417691933,-0.1384789579158308,86.53857086017831,0.19247889127118056,3.823391993625449,0.2773128644566267,0.21454469477498228,0.1647361949288763,0.10779394030981423,0.07154445275974514,0.051083446435581985,0.032460380499961236,0.029111628002838095,0.032252033524450746,0.019160364307123475
Adele\02 I'll Be Waiting.mp3,-5.199682,6542.854134580801,0.16836883956059806,3.4441179935746153,0.023084046168092336,4218.717425346779,0.35900597692489855,7.090978752376746,-5.199682000000003,4737.049430791334,-0.017366906237521875,3.167103888065221,-0.08529570591412215,5600.039612384737,-0.0426781937262232,3.2176207267406345,-5.199682000000002,1047.126797196404,-0.052002279222191944,2.9807506391635807,-0.631716343268651,1887.242429634523,0.10454430594228706,3.010984211360808,-5.199682,96.65677209218647,-0.006590025851442809,2.727714817477089,-0.7023486973947893,167.3863556462465,0.07879489908437796,2.805031542638632,0.27683880972386654,0.18356234326943627,0.10801969077290498,0.10965901996651295,0.08319704831453828,0.0742563106332491,0.047368721211732835,0.050193016757458825,0.04401856007370834,0.02288647927659194
Adele\03 Don't You Remember.mp3,-7.592822,6756.1609213576385,0.20268349646806358,3.573746134279016,0.005808011616023232,4234.34823667306,0.31671615202462855,6.231950407511193,-7.592822000000001,4884.541031388996,-0.011306778052901348,3.6764259500748744,0.0029260585211796767,5350.6484447316125,0.07276605046134867,3.479920009075642,-7.592822000000002,1370.8861465067534,0.05839620445705016,2.854808488842377,0.17042208441688161,2501.7751092355525,0.05089533454281894,2.9311501528594897,-7.592822,122.99857841673747,-0.15828658035961943,3.167446560823478,-0.14244088176353226,211.12066420114226,0.06876585456259361,3.050643533388516,0.2627092833548148,0.20210032727125543,0.10905577053830202,0.1094753650673226,0.06328591738641677,0.07171062457351746,0.042558866556356045,0.069341142507507,0.052331198597248184,0.017431504147259726
Adele\04 Turning Tables.mp3,-1.701602,5424.403753746271,0.27338982931346045,3.912871461772257,-0.0017000034000068,3649.005417221271,0.5730420249393244,11.040786536736514,-1.7016020000000036,3368.7699245636877,0.05650261225723091,3.104060830939357,-0.10930818616372741,5493.434951935664,0.01684773283069392,3.2301954891773037,-1.701602,302.3548828512177,-0.028353593295618974,3.557627098339279,-0.12164432886577269,505.4616751459452,0.06546526313724253,3.818600566447791,-1.7016019999999998,39.11023232326288,0.10211507000088174,3.399158024657138,-0.17401803607214528,66.82788446414851,-0.028912409955386176,3.504190230214747,0.22953927451055542,0.20361948656418957,0.12041337201173756,0.12672154944102818,0.07285294672257024,0.0727157120553947,0.04568307389741868,0.05008871521425568,0.051405015434360705,0.026960854148489123
Adele\05 Set Fire To The Rain.mp3,-4.234164,6182.277167265411,0.17207740099707178,3.5400465441940034,-0.017096034192068385,3697.6022372359544,0.47336881381547463,6.768994512197446,-4.234163999999998,4526.639549567827,-0.019025573872210863,3.3763887752271886,-0.2786815736314711,4748.72553115839,0.02517573091785783,3.345288194844475,-4.234164000000002,1203.7881958196554,-0.0119690663432397,2.5585945225526268,-0.540706141228242,2147.1210344981296,0.144624314403136,2.5854193322162287,-4.234164,111.75150817107169,-0.12774727473566305,2.712995569731179,-0.5335470941883776,196.23435630221834,0.16416022819725318,3.0186300901362717,0.2763675514393815,0.19652410379408103,0.10746360959377962,0.11252694505719177,0.07596338079481034,0.06876626924728174,0.04246180987641187,0.04819523813366954,0.04891686378518882,0.022814228278203903
Adele\06 If It Hadn't Been For Love.mp3,-0.84858,5703.352318932784,0.24809628977311987,3.888024276614326,-0.011240022480044961,3863.587807675549,0.558673674838088,9.507069732294351,-0.8485799999999994,3855.0131316761017,0.22570927863904713,3.6164456431456986,-0.05341306826136087,4520.368020464873,0.011490239600198323,3.675508729556853,-0.8485799999999967,1024.8045292333284,-0.17844246059875413,3.5212464689528633,0.020592118423686204,1857.4436473077385,-0.1151553730583261,3.588662980778817,-0.8485800000000001,90.28742596445865,-0.06724215768573855,3.191069527962791,0.07236272545090244,155.37111644664992,-0.09380673287519183,3.5598285191425445,0.2615150730832627,0.1849522527918496,0.1486228816621295,0.10700198057467918,0.07144480606416742,0.07141995488202875,0.0410074827257908,0.042763179718689835,0.045916654974495034,0.025355733522907164
Adele\07 My Same.mp3,-5.158252,6217.147317189799,0.2706833968334907,3.8121595690338435,-0.009372018744037489,4035.2537240680913,0.5864371906164162,9.641387050738816,-5.1582520000000045,4206.801799990761,0.14939526427991273,3.5883844973527954,-0.03773475469509567,5127.130200344061,0.03408391320364158,4.014791752692267,-5.158251999999997,964.6087053810495,-0.20481036342847106,4.076191457816382,0.015057011402284364,1597.3116564925283,-0.0570666278283939,4.980519194497217,-5.158251999999999,96.75897157705066,-0.04104053129143857,3.11475753509854,0.06575951903807563,163.89838179108955,-0.1206954140497992,3.228163424785107,0.2821912596987921,0.18265861614680962,0.1221533048482494,0.12031285017777812,0.0634206261282848,0.07151217299370306,0.04725543393534148,0.04066472162452504,0.05000523494178575,0.019825779504730582
Adele\08 Take It All.mp3,-1.731144,5062.906851502253,0.497134805108884,4.583321683312634,0.014752029504059008,3710.4538492073866,0.4811031015575759,15.401804633205675,-1.7311439999999945,3203.7979729492386,0.13985074605191344,3.478823529171741,0.06144922898457918,5046.373365575061,-0.020732629273683967,3.5010491544939737,-1.7311440000000007,333.05038771923273,-0.00909112368236771,3.7463797945909465,0.017747549509902826,575.9431420615276,0.004412041883341392,3.7795939378457644,-1.7311439999999996,33.65074663860022,0.027875687642734442,3.5541069870327626,0.08228256513026053,57.888329866076496,0.032303886886451874,3.7349763439362706,0.23430240209952197,0.1996257806371322,0.09069005952035664,0.10130686417880602,0.11602405612000688,0.08754629383033387,0.05404605209779114,0.049392135559121884,0.04497709041596409,0.022089265540965266
Adele\09 Rumour Has It.mp3,-2.465834,6157.238302780612,0.08031813267038293,3.5657396974188122,0.017036034072068145,3022.6712644951845,0.336531345034518,8.690322050136938,-2.4658339999999965,5013.61734244229,-0.0363347324091898,3.4928989419452012,0.18047960959219628,5657.764585246915,-0.021807025266468022,3.3878777717164983,-2.4658339999999974,1019.3272665465907,0.014404565653536849,4.327818727420665,-0.3284876975395093,1732.7331318755735,0.06285960128549112,4.675781359201224,-2.4658339999999996,108.65053558455404,0.24020880233676395,3.823658454544047,-0.03152905811623407,187.9331526710346,0.12586087306817756,3.9684603202498496,0.3584809591835653,0.1599213023920985,0.11075197433351944,0.09229536792026123,0.06507964253442497,0.05895079933601165,0.038236764777357664,0.04368430975565267,0.040768833556950414,0.0318300462101578
Adele\10 Right As Rain.mp3,-7.684952,6388.248800427292,0.23655924859109498,3.885300616496194,0.017866035732071465,3474.8127632156366,0.6162242615982058,12.27489345716017,-7.684952000000003,4811.8213683822005,0.027154052520307687,3.5571837463142417,0.11110622212444068,5668.718121156139,-0.004195533140636931,3.4571042069038644,-7.684951999999997,1183.8768159907,-0.005434122256009196,3.4466877434194587,-0.1752090418083551,2180.058032993231,0.10841065226443138,3.3188573033874746,-7.684952,110.17199125119639,-0.14844913795408635,4.879080621614351,-0.34035070140280377,185.9194356326287,-0.13556191650389307,5.011486086623035,0.3266826213218664,0.19558596412370935,0.1141160691115729,0.0945352146621365,0.06380073736276495,0.06139154926619376,0.034039667428908224,0.04578450745940222,0.04272651374741667,0.02133715551602888
