,amp1mean,amp1std,amp1skew,amp1kurt,amp1dmean,amp1dstd,amp1dskew,amp1dkurt,amp10mean,amp10std,amp10skew,amp10kurt,amp10dmean,amp10dstd,amp10dskew,amp10dkurt,amp100mean,amp100std,amp100skew,amp100kurt,amp100dmean,amp100dstd,amp100dskew,amp100dkurt,amp1000mean,amp1000std,amp1000skew,amp1000kurt,amp1000dmean,amp1000dstd,amp1000dskew,amp1000dkurt,power1,power2,power3,power4,power5,power6,power7,power8,power9,power10
Adele\01 Hometown Glory.mp3,-0.9277533333333333,5207.594470699539,0.44369647310800503,4.225222349368905,-0.006811678019463366,3115.4183355542496,0.7710025046108926,11.601878142691175,-0.9277533333333289,3295.908989075763,0.12432416281068814,3.2620205957615167,-0.07070451174185945,5180.423134651151,-0.04977547509698796,3.594850264029576,-0.9277533333333338,314.31302869552275,-0.034429593790198054,3.2826557350930554,0.0022337056176038586,506.9398601273223,-0.105732883292965,3.738116970835974,-0.9277533333333334,41.52803523909066,0.010122269378999573,3.2795923133466864,0.04379465776293852,70.91632481771968,-0.06435903722414683,3.5234599511085665,0.2602916332427136,0.22411718611277323,0.12110687668347753,0.1153928476875568,0.07250329469778372,0.06801185214114178,0.037226070333830186,0.03524974533052981,0.04426473916203561,0.02183575460815743
Adele\02 I'll Be Waiting.mp3,-5.549011666666667,6347.1601850503075,0.13524378196301193,3.5654432867885766,0.0009350015583359305,4209.199891776783,0.3429664901052287,6.930586549419534,-5.549011666666668,4373.18856845022,-0.011277499978010058,3.442156667061506,0.03108051800863722,5304.164928007996,0.02694477636599026,3.385403124715047,-5.549011666666668,948.3661128073762,0.00637273369839363,3.301702253120963,0.25607101183531167,1700.0016539594874,0.0693738163466936,3.4361832386232822,-5.549011666666667,88.95386290340738,0.01836245699956254,3.4472225729502797,0.03472120200333866,154.57000423254232,0.021599197294365668,3.390846148212071,0.26974005809930324,0.18936545554310205,0.11090566070547121,0.112729039821549,0.08205851500845429,0.07665563508986843,0.05009470330671914,0.04546611402651178,0.0393719830070028,0.02361283539201799
Adele\03 Don't You Remember.mp3,-4.118973333333333,6543.097288129836,0.2025657935685896,3.4510990125711376,-0.005078341797236329,4311.211350350547,0.305695992598895,6.418338604273975,-4.11897333333333,4407.742747782779,-0.01685779866581572,3.3085878474673978,0.012051867531133832,5602.231709688358,0.03405018091861886,3.2443515552214013,-4.11897333333333,982.9118462148301,0.0034413575868777755,2.941510933416668,0.10437906317718977,1800.3845204230604,0.03312923594800674,2.846234260372781,-4.118973333333333,83.84734968979416,-0.12669473451615162,3.734994907367936,0.2118096828046746,142.07365390986232,0.025639133506056642,3.7280040952031386,0.25898722295506754,0.20407893738344754,0.10961189046522418,0.11060938203378731,0.06992541278536284,0.07352545703043785,0.041278294084194055,0.06368113302099526,0.05000965391112435,0.018292616330359113
Adele\04 Turning Tables.mp3,-2.397168333333333,5651.897946410774,0.3135357246254613,3.857298062687408,0.0014550024250040417,4233.958823139215,0.4768038110236998,8.908157785485372,-2.397168333333331,3360.356003517209,0.02154526477704758,3.167631216220001,0.021885364756075727,5472.537660807249,0.020530504004492606,3.3438144384650976,-2.3971683333333345,305.86275587099243,0.0011495349963211174,3.6238526190276144,-0.00771795299216687,519.622277088288,0.001355048863105216,3.9155411825488535,-2.397168333333333,39.37165476049993,-0.17229799624308909,3.004891979507299,0.1984340567612699,68.1884713160953,-0.0016603854609805251,2.989369545905412,0.20474404159763399,0.18391570720078199,0.12918906811660805,0.12658252723767105,0.09413066146062449,0.08002337933823554,0.05101062192001614,0.05634026666803443,0.049905442494842786,0.024158283965551336
Adele\05 Set Fire To The Rain.mp3,-5.247931666666667,6578.064118753447,0.21240488006259628,3.4253972603644933,0.003938339897233162,4310.0587508227245,0.48997701387557785,5.818823801733853,-5.247931666666662,4309.985158578706,0.03540435900712031,3.2003961025323924,0.20171169519492294,4577.948515704545,0.06994888599488175,3.511144931444436,-5.247931666666664,1151.7594028879491,-0.10303622246965963,2.5805289799729967,0.4467194532421987,2083.523315913575,0.11655488213642665,2.6198911650501273,-5.247931666666667,105.77284363528128,-0.03383140960121355,2.5220924356035885,0.506836393989982,185.8938571482187,0.06907971153145792,2.6706633347710915,0.23835723822172208,0.2115574029475553,0.1335069680682484,0.12261898197768173,0.06997252254248468,0.06694727462611225,0.045435953752562167,0.047603619434127976,0.0397464810263606,0.024253557403144912
Adele\06 If It Hadn't Been For Love.mp3,-0.6041133333333333,5081.571546394261,0.3367687492170839,4.2770189874443405,0.00955834926391544,3008.3943377413902,0.6259835879509072,11.920174892402777,-0.6041133333333346,3451.844063776841,0.21780140189902752,3.6505012091256885,0.06237937298954578,4650.488406543055,0.015791469019108224,3.779266811055778,-0.6041133333333321,808.6388626365585,-0.20244994263410765,3.9638081985554585,0.08042340390064887,1490.5651072997575,-0.11614519857853914,3.9216468517761545,-0.6041133333333333,69.98725880558895,0.1273272298852354,4.410194189566681,-0.05695158597662741,123.45562192338647,-0.08934929518189524,4.654482507866983,0.28108424423761635,0.21143116222870334,0.14042640138450527,0.10607992495310588,0.060458812703546784,0.060502019888667345,0.0416604001437642,0.04017965244620278,0.036964533307662625,0.02121284870622553
Adele\08 Take It All.mp3,-1.53151,4777.422680096153,0.3929086473582847,5.079540553125174,-0.009188348647247746,3385.678862807208,0.6435861497796208,12.679082159893001,-1.5315099999999966,2766.378335606283,0.08858863748837863,4.010413609612681,-0.11576859614327081,4438.918597823027,-0.011829435341433275,4.481492714747189,-1.5315100000000001,296.17696187676927,-0.02710705237976637,4.279436869857051,-0.05758126354392275,511.18937397496,-0.05409069898805941,4.5135020377697845,-1.5315099999999995,30.335265120261713,-0.08473676060946907,4.598103663188971,-0.021823038397328784,52.65798942102877,0.07765653766253763,4.364232523085177,0.21231942930672273,0.2051100200572587,0.12949254599902918,0.13622077870631583,0.07992491446567274,0.0784825011767985,0.05298306955760289,0.04365277090004876,0.037162157885129124,0.024651811945421435
Adele\09 Rumour Has It.mp3,-0.6094616666666667,4851.650753440676,0.26752597294267866,4.1202272045016874,0.007955013258355431,2460.666866577859,0.5482430590679508,15.867827384422467,-0.6094616666666655,3740.963269421301,0.021545638404914504,4.021945471900596,0.18100801680028025,4851.693423285527,-0.02084915762179613,3.8232613840201757,-0.6094616666666663,631.8040587926452,0.04449544289895162,6.701275170982508,-0.34520420070011365,1113.2990270655941,0.05439431994870563,6.552626865191598,-0.6094616666666661,61.86919705878306,-0.11009772668511963,5.79059063352177,0.047434056761269654,107.89159078876409,-0.1710907562622854,5.313701630860309,0.3529265012721356,0.18560547325899057,0.09223986051357955,0.08793098975723421,0.08197826377204091,0.05932752421612835,0.043074257003783714,0.033291475458596266,0.039560998083349466,0.024064656664161042
Adele\11 One And Only.mp3,-5.036923333333333,6393.463619751557,0.13289349381405852,3.462453803890951,-0.006568344280573801,3633.0700916032906,0.6480887490566551,9.248509336930674,-5.036923333333335,4880.658439465725,-0.006879225384205532,3.3965212857952385,-0.03609560159335683,5163.182731453401,0.07742206005779616,3.268051253251782,-5.036923333333337,1330.8705967539697,-0.03419344990794862,3.2761951687511637,-0.34183030505084355,2354.338803543724,0.1930697810448394,3.5074460798759786,-5.036923333333334,137.32447519435172,-0.036768618893163386,3.112251352249933,-0.30493322203672757,244.67836401200563,0.09062984359827025,3.4120397588151055,0.2935681123682513,0.17849278895371334,0.12220819843527399,0.11083717430093305,0.07220349033106138,0.06805975622917415,0.04371987375102737,0.03954633866428594,0.046272773417599895,0.025091493548679587
Adele\12 Lovesong.mp3,-1.4886666666666666,5928.515067909069,0.1670448825975442,3.363717404054927,0.006906678177796963,2755.8313322733516,0.3870868063451741,10.271292636794486,-1.4886666666666641,4641.3551703781395,0.06403742229331082,3.466107671809167,-0.12343705728429391,5994.343569010492,0.007895322772600938,3.261312102385721,-1.488666666666664,1213.566131763444,-0.08841190697922403,3.6118134870687544,-0.010061676946148618,2263.9737700549513,-0.09155591694714034,3.5773073729405582,-1.488666666666666,104.00721978577042,-0.18604259440081286,4.06058647286427,-0.18591485809682667,179.5766595631632,-0.18134802757856835,4.543013918524503,0.36725067866366645,0.18839526884107843,0.09492950103553481,0.0986049962937554,0.05471890454437975,0.057707499095516396,0.0367194521576904,0.032070541415035805,0.039674643181084476,0.029928514772257907
