abstract;category
We examine the following consequentialist view of virtue: a trait is a virtue if and only if it has good consequences in some relevant way. We highlight some motivations for this basic account, and offer twelve choice points for filling it out. Next, we explicate Julia Driver’s consequentialist view of virtue in reference to these choice points, and we canvass its merits and demerits. Subsequently, we consider three suggestions that aim to increase the plausibility of her position, and critically analyze them. We conclude that one of those proposed revisions would improve her account.;Ethics
The paper argues that care ethics should be subsumed under virtue ethics by construing care as an important virtue. Doing so allows us to achieve two desirable goals. First, we preserve what is important about care ethics. Second, we avoid two important objections to care ethics, namely, that it neglects justice, and that it contains no mechanism by which care can be regulated so as not to be become morally corrupt.;Ethics
In recent years, scholars of Confucian ethics have debated on important issues such as whether Confucian ethics embraces, or should embrace, universal values and impartiality. Some have argued that Confucian ethics integrates both care and justice, and that Confucian ethics is both particularistic and universalistic. In this essay, I will defend a view of the relation between care and justice and the relation between care ethics and justice ethics on the basis of the notion of 'configuration of values,' and show why care ethics and justice ethics cannot be integrated. I will support this view by a reading of some pertinent passages in the Mencius;Ethics
Virtue Ethics_ collects, for the first time, the main classical sources and the central contemporary expressions of virtue ethics approach to normative ethical theory. Edited and introduced by Stephen Darwall, these readings are essential for anyone interested in normative theory. Introduced by Stephen Darwall, this collection brings together classic and contemporary readings which define and advance the literature on virtue ethics. Includes six essays which respond to the classic sources. Includes a contemporary discussion on character and virtue by Gary Watson. Includes classic essays by Aristotle, Francis Hutcheson and David Hume, and recent reactions to this work by philosophers including Philippa Foot, John McDowell, Alasdair MacIntyre, Annette Baier, Rosalind Hursthouse, and Michael Slote;Ethics
"This dissertation integrates the work of feminist care theorists such as Carol Gilligan with the phenomenological work on embodiment of Maurice Merleau-Ponty as well as the social philosophy of Jane Addams to create an approach to morality that I call, ""Embodied Care."" I define embodied care as an approach to morality that shifts ethical considerations to context, relationships, and affective knowledge in a manner that can only be fully understood if its embodied dimension is recognized. Care is exhibited through habits that are an expression of embodied knowledge and contribute to a caring imagination. Care is committed to the flourishing and growth of individuals yet acknowledges our interconnectedness and interdependence. This dissertation aims to contribute two ideas to existing care discourse: Care cannot be fully understood without attending to its embodied dimension and that care can be a viable component of a social ethic but only if its corporeal aspect is addressed. ;The introduction contains my definition of care that will be explicated throughout the dissertation. The opening chapter reviews the current literature on care ethics and organizes various positions held to help clarify the assertion I will make throughout the dissertation: care is more foundational than an ethical theory because it is rooted in the body. Largely drawing upon the work of Maurice Merleau-Ponty, chapter two establishes how the body is ""built for caring"" by exploring caring knowledge and caring habits. Chapter three bridges individual and social considerations through the notion of a caring imagination which employs corporeal resources to transcend distance and time to understand and empathize with others. In chapter four the work of Jane Addams is used to understand how attending to embodiment can contribute to social habits of care that build a caring society. The final chapter explores how embodied care transforms the moral landscape on a personal and a social level. ;Rather than providing the definitive answers desired by traditional ethical systems, embodied care points to the kinds of questions and issues that should be attended to. Embodied care is not about ""getting it right,"" but about ""making it better"" for those involved";Ethics
"This work draws out the moral significance of the care-ethic tradition by examining its implications for political theory. I defend the care tradition against the charge that it is a slave-morality because it is conceptually incapable of addressing political conflicts. I argue that a carefully drafted feminist version of care-ethics is capable of bridging this gap because it is conceptually able to highlight concerns of both justice and care simultaneously. A perspective combining the insights of care and justice perspectives can be a distinct political as well as moral voice. ;The main obstacle to this project is a tendency within the care-ethic tradition to dichotomize justice and care perspectives and construe them as independent, incommensurable, or incompatible. The dichotomy of justice/care perspectives parallels other conceptual pairs, giving it many dimensions and theoretical manifestations. The justice/care dichotomy implies that care-givers do not require understandings of justice in order to achieve the ideals of care, and that justice can be reached at the expense of the ideals of care. Any version of the care-ethic premised upon stronger versions of this dichotomy, or that has not corrected for their influence is inadequate by standards both external and internal to the care-ethic tradition. ;With an eye toward the dangers and promise of such a project, I defend a politically sensitive ethic of care that navigates moral waters better than its predecessors. Feminist principles of justice fortify the politically weak points of the care tradition, especially the tendency to encourage the political marginalization of many care-givers. Theoretical attention to care rectifies the tendency of justice traditions---including much feminist thought---to discount caring labor, wish it away, or indiscriminately shift the social burdens of care to someone else. I show that any adequate treatment of moral life must embrace a model whereby justice and care are understood as mutually presupposing ideals";Ethics
Using a Wittgensteinian approach to understanding, this thesis extends and challenges recent feminist discussions of the ethic of care as a gender-sensitive corrective to traditional moral theory. It elaborates a more complex understanding of the diversity and ambiguity of the ethical possibilities of caring than has been presented in earlier analyses. A brief introduction to the contemporary debate is followed by accounts of six different examples of caring practices, viz: caring attention, taking care of oneself, mothering, friendship, nursing and citizenship. The aim of this survey is to show that caring constitutes an intricate labyrinth of ethical possibilities, the understanding of which involves approaching it from numerous directions. Through concern for the similarities and differences between these examples, their insights and their oversights, the thesis displays the limitations of theories which presume a unified, non-contexted ethic of care. At the same time the detailed descriptions of caring practices affirm the ethical significance of a range of activities that are frequently overlooked in conventional accounts of ethics;Ethics
Connected Lives examines the account of human nature that is implicit in an ethics of care, a picture of human lives that emphasizes interdependency, embodiment, and social connectedness. The book makes important connections to the picture of human life found in theorists of love such as St. Augustine and Emmanuel Levinas, and shows that when care theory is articulated clearly, it provides resources for thinking through some of the difficult moral issues we face in the contemporary world, issues such as assisted reproduction and the new genetic technologies;Ethics
The article aims to delve into the ethical dimension of Ubuntu philosophy, which is an African philosophy that reverberates in other cultures and in various forms, thus exemplifying its universality and universalizability. In this dimension, it tries to re-examine the notion of ethics in relation to morals/morality, including “is” and “ought”, with reference to the human person. Moreover, Ubuntu philosophy is articulated and communicated in the maxim that is an essential component inthe lived experiences of the Bantu-speaking African community: “A person is a person through other persons.” With this, the article integrates some related European and Asian philosophies, considering the fact that Ubuntu philosophy endures as it is tenaciously upheld and edified alongside its implications.;Ethics
This article examines Russell Hardin's interpretation of Hume's argument that great social order depends on coordination convention. The main argument shows that despite an apparent move in that direction Hume's main argument is that justice and the other convention-based virtues rest on a cooperative convention which solves a prisoner's dilemma problem and that states are required when a society exceeds some small size because only states can solve the large number prisoner's dilemma problems that constitute the 'problem of social order'. In this Hume's argument is indebted to the original form of this argument found in Hobbes's Leviathan;Ethics
