abstract;label
We examine the following consequentialist view of virtue: a trait is a virtue if and only if it has good consequences in some relevant way. We highlight some motivations for this basic account, and offer twelve choice points for filling it out. Next, we explicate Julia Driver’s consequentialist view of virtue in reference to these choice points, and we canvass its merits and demerits. Subsequently, we consider three suggestions that aim to increase the plausibility of her position, and critically analyze them. We conclude that one of those proposed revisions would improve her account.;Ethics
The paper argues that care ethics should be subsumed under virtue ethics by construing care as an important virtue. Doing so allows us to achieve two desirable goals. First, we preserve what is important about care ethics. Second, we avoid two important objections to care ethics, namely, that it neglects justice, and that it contains no mechanism by which care can be regulated so as not to be become morally corrupt.;Ethics
Conceived of as a contender to other theories in substantive ethics, virtue ethics is often associated with, in essence, the following account or criterion of right action: VR: An action A is right for S in circumstances C if and only if a fully virtuous agent would characteristically do A in C. There are serious objections to VR, which take the form of counter-examples. They present us with different scenarios in which less than fully virtuous persons would be acting rightly in doing what no fully virtuous agent would characteristically do in the circumstances. In this paper, various proposals for how to revise VR in order to avoid these counter-examples are considered. I will argue that in so far as the revised accounts really do manage to steer clear of the counter-examples to VR, something which it turns out is not quite true for all of them, they instead fall prey to other damaging objections. I end by discussing the future of virtue ethics, given what has come to light in the previous sections of the paper. In particular, I sketch the outlines of a virtue ethical account of rightness that is structurally different from VR. This account also faces important problems. Still, I suggest that further scrutiny is required before we are in a position to make a definitive decision about its fate.;Ethics
Virtue Ethics_ collects, for the first time, the main classical sources and the central contemporary expressions of virtue ethics approach to normative ethical theory. Edited and introduced by Stephen Darwall, these readings are essential for anyone interested in normative theory. Introduced by Stephen Darwall, this collection brings together classic and contemporary readings which define and advance the literature on virtue ethics. Includes six essays which respond to the classic sources. Includes a contemporary discussion on character and virtue by Gary Watson. Includes classic essays by Aristotle, Francis Hutcheson and David Hume, and recent reactions to this work by philosophers including Philippa Foot, John McDowell, Alasdair MacIntyre, Annette Baier, Rosalind Hursthouse, and Michael Slote;Ethics
"This dissertation integrates the work of feminist care theorists such as Carol Gilligan with the phenomenological work on embodiment of Maurice Merleau-Ponty as well as the social philosophy of Jane Addams to create an approach to morality that I call, ""Embodied Care."" I define embodied care as an approach to morality that shifts ethical considerations to context, relationships, and affective knowledge in a manner that can only be fully understood if its embodied dimension is recognized. Care is exhibited through habits that are an expression of embodied knowledge and contribute to a caring imagination. Care is committed to the flourishing and growth of individuals yet acknowledges our interconnectedness and interdependence. This dissertation aims to contribute two ideas to existing care discourse: Care cannot be fully understood without attending to its embodied dimension and that care can be a viable component of a social ethic but only if its corporeal aspect is addressed. ;The introduction contains my definition of care that will be explicated throughout the dissertation. The opening chapter reviews the current literature on care ethics and organizes various positions held to help clarify the assertion I will make throughout the dissertation: care is more foundational than an ethical theory because it is rooted in the body. Largely drawing upon the work of Maurice Merleau-Ponty, chapter two establishes how the body is ""built for caring"" by exploring caring knowledge and caring habits. Chapter three bridges individual and social considerations through the notion of a caring imagination which employs corporeal resources to transcend distance and time to understand and empathize with others. In chapter four the work of Jane Addams is used to understand how attending to embodiment can contribute to social habits of care that build a caring society. The final chapter explores how embodied care transforms the moral landscape on a personal and a social level. ;Rather than providing the definitive answers desired by traditional ethical systems, embodied care points to the kinds of questions and issues that should be attended to. Embodied care is not about ""getting it right,"" but about ""making it better"" for those involved";Ethics
"This work draws out the moral significance of the care-ethic tradition by examining its implications for political theory. I defend the care tradition against the charge that it is a slave-morality because it is conceptually incapable of addressing political conflicts. I argue that a carefully drafted feminist version of care-ethics is capable of bridging this gap because it is conceptually able to highlight concerns of both justice and care simultaneously. A perspective combining the insights of care and justice perspectives can be a distinct political as well as moral voice. ;The main obstacle to this project is a tendency within the care-ethic tradition to dichotomize justice and care perspectives and construe them as independent, incommensurable, or incompatible. The dichotomy of justice/care perspectives parallels other conceptual pairs, giving it many dimensions and theoretical manifestations. The justice/care dichotomy implies that care-givers do not require understandings of justice in order to achieve the ideals of care, and that justice can be reached at the expense of the ideals of care. Any version of the care-ethic premised upon stronger versions of this dichotomy, or that has not corrected for their influence is inadequate by standards both external and internal to the care-ethic tradition. ;With an eye toward the dangers and promise of such a project, I defend a politically sensitive ethic of care that navigates moral waters better than its predecessors. Feminist principles of justice fortify the politically weak points of the care tradition, especially the tendency to encourage the political marginalization of many care-givers. Theoretical attention to care rectifies the tendency of justice traditions---including much feminist thought---to discount caring labor, wish it away, or indiscriminately shift the social burdens of care to someone else. I show that any adequate treatment of moral life must embrace a model whereby justice and care are understood as mutually presupposing ideals";Ethics
Using a Wittgensteinian approach to understanding, this thesis extends and challenges recent feminist discussions of the ethic of care as a gender-sensitive corrective to traditional moral theory. It elaborates a more complex understanding of the diversity and ambiguity of the ethical possibilities of caring than has been presented in earlier analyses. A brief introduction to the contemporary debate is followed by accounts of six different examples of caring practices, viz: caring attention, taking care of oneself, mothering, friendship, nursing and citizenship. The aim of this survey is to show that caring constitutes an intricate labyrinth of ethical possibilities, the understanding of which involves approaching it from numerous directions. Through concern for the similarities and differences between these examples, their insights and their oversights, the thesis displays the limitations of theories which presume a unified, non-contexted ethic of care. At the same time the detailed descriptions of caring practices affirm the ethical significance of a range of activities that are frequently overlooked in conventional accounts of ethics;Ethics
In this chapter, we consider ethical and philosophical aspects of trust in the practice of medicine. We focus on trust within the patient-physician relationship, trust and professionalism, and trust in Western (allopathic) institutions of medicine and medical research. Philosophical approaches to trust contain important insights into medicine as an ethical and social practice. In what follows we explain several philosophical approaches and discuss their strengths and weaknesses in this context. We also highlight some relevant empirical work in the section on trust in the institutions of medicine. It is hoped that the approaches discussed here can be extended to nursing and other topics in the philosophy of medicine.;Epistomology
One fundamental divide among philosophers studying the nature of trust concerns the relation between trust and belief. According to doxastic accounts of trust, trust entails a belief about the trustee: either the belief that she is trustworthy with respect to what she is trusted to do, or that she will do what she is trusted to do. Non-doxastic accounts deny that trusting entails holding such a belief. The chapter describes and evaluates the main considerations which have been cited for and against doxastic accounts of trust. It argues that a preemptive reasons account of trust neutralizes some of the key objections to doxastic accounts, and that considerations favoring a doxastic account appear to be stronger than those favoring non-doxastic accounts. The chapter also suggests that the debate about the nature of trust, and the mental state required for trusting can benefit from linking it with the debate about the value of trust.;Epistomology
I argue for an account of the vulnerability of trust, as a product of our need for secure social attachments to individuals and to a group. This account seeks to explain why it is true that, when we trust or distrust someone, we are susceptible to being betrayed by them, rather than merely disappointed or frustrated in our goals. What we are concerned about in matters of trust is, at the basic level, whether we matter, in a non-instrumental way, to that individual, or to the group of which they are a member. We have this concern as a result of a drive to form secure social attachments. This makes us vulnerable in the characteristic way of being susceptible to betrayal, because how the other acts in such matters can demonstrate our lack of worth to them, or to the group, thereby threatening the security of our attachment, and eliciting the reactive attitudes characteristic of betrayal.;Epistomology
